Start-Time: 28/09/2016 21:46:14

Date, Tithi, Nakshatra, Skipped Tithi, Skipped Nakshatra, 
29/10/2017, Thasami upto  26:09+, Avittam upto  15:08,  ,  , 
30/10/2017, Egadashi upto  26:24+, Sathayam upto  16:11,  ,  , 
31/10/2017, Duvadasi upto  26:08+, Poorattathi upto  16:45,  ,  , 
01/11/2017, Thirayodasi upto  25:23+, Uthirattathi upto  16:49,  ,  , 
02/11/2017, Sathuradasi upto  24:12+, Revathi upto  16:27,  ,  , 
03/11/2017, Pournami upto  22:38, Aswini upto  15:40,  ,  , 
04/11/2017, Pirathamai upto  20:45, Bharani upto  14:34,  ,  , 
05/11/2017, Thuthiyai upto  18:38, Karthigai upto  13:13,  ,  , 
06/11/2017, Thiruthiyai upto  16:21, Rohini upto  11:40,  ,  , 
07/11/2017, Sathurthi upto  13:59, Mirugasirisham upto  10:01,  ,  , 
08/11/2017, Panjami upto  11:36, Thiruvathirai upto  08:21,  , Punarpoosam upto  30:45+, 
09/11/2017, Shasti upto  09:18, Poosam upto  29:17+,  ,  , 
10/11/2017, Sapthami upto  07:10, Ayilyam upto  28:04+, Astami upto  29:16+,  , 
11/11/2017, Navami upto  27:39+, Magam upto  27:08+,  ,  , 
12/11/2017, Thasami upto  26:26+, Pooram upto  26:33+,  ,  , 
13/11/2017, Egadashi upto  25:38+, Uthiram upto  26:25+,  ,  , 
14/11/2017, Duvadasi upto  25:20+, Hastham upto  26:44+,  ,  , 
15/11/2017, Thirayodasi upto  25:32+, Chithirai upto  27:34+,  ,  , 
16/11/2017, Sathuradasi upto  26:15+, Swathi upto  28:53+,  ,  , 
17/11/2017, Amavasai upto  27:28+, Visakam upto  30:40+,  ,  , 
18/11/2017, Pirathamai upto  29:06+, Anusham upto Full Night,  ,  , 
19/11/2017, Thuthiyai upto  31:04+, Anusham upto  08:51,  ,  , 
20/11/2017, Thiruthiyai upto Full Night, Kettai upto  11:18,  ,  , 
21/11/2017, Thiruthiyai upto  09:12, Moolam upto  13:55,  ,  , 
22/11/2017, Sathurthi upto  11:21, Pooradam upto  16:30,  ,  , 
23/11/2017, Panjami upto  13:19, Uthiradam upto  18:53,  ,  , 
24/11/2017, Shasti upto  14:59, Thiruvonam upto  20:57,  ,  , 
25/11/2017, Sapthami upto  16:14, Avittam upto  22:36,  ,  , 
26/11/2017, Astami upto  16:59, Sathayam upto  23:46,  ,  , 
27/11/2017, Navami upto  17:14, Poorattathi upto  24:27+,  ,  , 
28/11/2017, Thasami upto  16:57, Uthirattathi upto  24:38+,  ,  , 
29/11/2017, Egadashi upto  16:12, Revathi upto  24:21+,  ,  , 
30/11/2017, Duvadasi upto  15:01, Aswini upto  23:40,  ,  , 
01/12/2017, Thirayodasi upto  13:27, Bharani upto  22:38,  ,  , 
02/12/2017, Sathuradasi upto  11:34, Karthigai upto  21:20,  ,  , 
03/12/2017, Pournami upto  09:28, Rohini upto  19:50, Pirathamai upto  31:11+,  , 
04/12/2017, Thuthiyai upto  28:50+, Mirugasirisham upto  18:12,  ,  , 
05/12/2017, Thiruthiyai upto  26:28+, Thiruvathirai upto  16:31,  ,  , 
06/12/2017, Sathurthi upto  24:12+, Punarpoosam upto  14:54,  ,  , 
07/12/2017, Panjami upto  22:06, Poosam upto  13:24,  ,  , 
08/12/2017, Shasti upto  20:14, Ayilyam upto  12:07,  ,  , 
09/12/2017, Sapthami upto  18:40, Magam upto  11:06,  ,  , 
10/12/2017, Astami upto  17:30, Pooram upto  10:27,  ,  , 
11/12/2017, Navami upto  16:46, Uthiram upto  10:12,  ,  , 
12/12/2017, Thasami upto  16:31, Hastham upto  10:25,  ,  , 
13/12/2017, Egadashi upto  16:47, Chithirai upto  11:07,  ,  , 
14/12/2017, Duvadasi upto  17:34, Swathi upto  12:19,  ,  , 
